"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Favorable","Unfavorable","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration","Other","candidate","net"
"1","Morning Consult","2016-08-18","2016-08-20","2016-08-21T14:24:41Z",2001,"Registered Voters","Internet",51,41,8,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-25218","https://morningconsult.com/2016/08/21/trumps-campaign-shakeup-likely-little-late/","Nonpartisan","None","",1,,"Sanders",10
"2","YouGov/Economist","2016-08-11","2016-08-16","2016-08-17T14:19:06Z",1290,"Adults","Internet",61,31,8,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25194","https://today.yougov.com/news/2016/08/16/yougoveconomist-poll-august-14-16-2016/","Nonpartisan","None","",1,,"Sanders",30
"3","Morning Consult","2016-08-11","2016-08-14","2016-08-15T18:50:05Z",2001,"Registered Voters","Internet",52,38,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-25179","https://morningconsult.com/2016/08/14/poll-trump-arrests-slide-but-favorability-reaches-new-depths/","Nonpartisan","None","",1,,"Sanders",14
"4","YouGov/Economist","2016-08-06","2016-08-09","2016-08-09T22:51:32Z",1300,"Adults","Internet",57,36,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25107","https://today.yougov.com/news/2016/08/09/yougoveconomist-poll-august-6-9-2016/","Nonpartisan","None","",1,,"Sanders",21
"5","Morning Consult","2016-08-04","2016-08-05","2016-08-07T11:58:22Z",2001,"Registered Voters","Internet",53,38,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-25078","https://morningconsult.com/2016/08/07/clinton-surges-past-trump-rough-week-republicans/","Nonpartisan","None","",1,,"Sanders",15
"6","NBC/WSJ","2016-07-31","2016-08-03","2016-08-04T22:03:25Z",800,"Registered Voters","Live Phone",51,29,20,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-25068","https://www.scribd.com/document/320223703/16579-NBCWSJ-August-Poll-8-4-Release","Nonpartisan","None","",1,,"Sanders",22
"7","FOX","2016-07-31","2016-08-02","2016-08-03T22:28:18Z",1022,"Registered Voters","Live Phone",60,34,5,"http://elections.huffingtonpost.com/pollster/polls/fox-25054","http://www.foxnews.com/politics/2016/08/04/fox-news-poll-clinton-and-trump-disliked-by-voters.html","Nonpartisan","None","",1,,"Sanders",26
"8","Morning Consult","2016-07-29","2016-07-30","2016-07-31T13:39:34Z",1931,"Registered Voters","Internet",51,41,8,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-25023","https://morningconsult.com/2016/07/31/presidential-poll-hillary-clinton-donald-trump/","Nonpartisan","None","",1,,"Sanders",10
"9","Morning Consult","2016-07-22","2016-07-24","2016-07-25T11:08:10Z",2502,"Registered Voters","Internet",47,44,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24954","https://morningconsult.com/2016/07/25/trump-surges-past-clinton-post-convention-bump/","Nonpartisan","None","",1,,"Sanders",3
"10","YouGov/Economist","2016-07-15","2016-07-17","2016-07-18T21:00:19Z",1300,"Adults","Internet",53,37,10,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24925","https://today.yougov.com/news/2016/07/18/yougoveconomist-poll-july-15-17-2016/","Nonpartisan","None","Do you have a favorable or an unfavorable opinion of the following people?",1,,"Sanders",16
"11","Morning Consult","2016-07-14","2016-07-16","2016-07-18T11:13:12Z",2002,"Registered Voters","Internet",48,43,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24914","https://morningconsult.com/2016/07/18/poll-trump-remains-within-striking-distance-clinton-security-issues-rise/","Nonpartisan","None","",1,,"Sanders",5
"12","CNN","2016-07-13","2016-07-16","2016-07-17T14:00:40Z",1013,"Adults","Live Phone",59,35,7,"http://elections.huffingtonpost.com/pollster/polls/cnn-24908","http://i2.cdn.turner.com/cnn/2016/images/07/17/rel8a.-.2016.pdf","Nonpartisan","None","",1,,"Sanders",24
"13","Franklin Pierce/RKM/Boston Herald","2016-07-12","2016-07-16","2016-07-18T14:36:39Z",1007,"Likely Voters","Live Phone",54,38,9,"http://elections.huffingtonpost.com/pollster/polls/franklin-pierce-rkm-boston-herald-24916","http://www.bostonherald.com/news/us_politics/2016/07/poll_donald_trump_hillary_clinton_too_close_to_call","Nonpartisan","None","US Senator from Vermont, Bernie Sanders?",1,,"Sanders",16
"14","YouGov/Economist","2016-07-09","2016-07-11","2016-07-13T15:07:40Z",1300,"Adults","Internet",56,35,9,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24874","https://today.yougov.com/news/2016/07/12/yougoveconomist-poll-july-9-11-2016/","Nonpartisan","None","",1,,"Sanders",21
"15","Morning Consult","2016-07-08","2016-07-10","2016-07-11T16:42:29Z",2001,"Registered Voters","Internet",51,40,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24853","https://morningconsult.com/2016/07/11/voters-largely-unmoved-potential-vp-picks-poll-shows/","Nonpartisan","None","",1,,"Sanders",11
"16","NBC/SurveyMonkey","2016-07-04","2016-07-10","2016-07-12T14:29:32Z",7869,"Registered Voters","Internet",52,45,3,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24859","https://www.scribd.com/document/318010091/NBC-News-SurveyMonkey-Toplines-and-Methodology-7-4-7-10","Nonpartisan","None","",1,,"Sanders",7
"17","YouGov/Economist","2016-07-02","2016-07-04","2016-07-06T14:29:45Z",1300,"Adults","Internet",54,38,8,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24823","https://today.yougov.com/news/2016/07/06/clinton-maintains-her-lead-particularly-negative-r/","Nonpartisan","None","",1,,"Sanders",16
"18","Morning Consult","2016-06-30","2016-07-04","2016-07-05T19:55:24Z",2001,"Registered Voters","Internet",48,42,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24822","https://morningconsult.com/2016/07/05/clinton-trump-nearly-tied-new-survey/","Nonpartisan","None","",1,,"Sanders",6
"19","Suffolk/USA Today","2016-06-26","2016-06-29","2016-07-05T13:58:23Z",1000,"Likely Voters","Live Phone",49,39,12,"http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-24813","http://www.suffolk.edu/academics/10741.php","Nonpartisan","None","",1,,"Sanders",10
"20","PPP (D)","2016-06-27","2016-06-28","2016-06-30T14:34:58Z",853,"Likely Voters","IVR/Online",44,42,14,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-24801","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_63016.pdf","Pollster","Dem","",1,,"Sanders",2
"21","YouGov/Economist","2016-06-24","2016-06-27","2016-06-29T14:15:26Z",1300,"Adults","Internet",57,36,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24795"," https://today.yougov.com/news/2016/06/29/yougoveconomist-poll-june-24-27-2016/","Nonpartisan","None","",1,,"Sanders",21
"22","Morning Consult","2016-06-24","2016-06-27","2016-06-27T16:04:16Z",4001,"Registered Voters","Internet",48,43,8,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24776","https://morningconsult.com/2016/06/27/clinton-gains-polls-voters-still-favor-trump-grow-economy/","Nonpartisan","None","",1,,"Sanders",5
"23","NBC/WSJ","2016-06-19","2016-06-23","2016-06-27T21:11:14Z",1000,"Registered Voters","Live Phone",43,34,23,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-24784","https://www.scribd.com/doc/316881192/Nbcwsj-June-Poll","Nonpartisan","None","",1,,"Sanders",9
"24","YouGov/Economist","2016-06-18","2016-06-20","2016-06-22T15:37:22Z",1300,"Adults","Internet",50,41,8,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24739","https://today.yougov.com/news/2016/06/21/national-clinton-leads-trump-four/","Nonpartisan","None","",1,,"Sanders",9
"25","Morning Consult","2016-06-15","2016-06-20","2016-06-20T20:29:18Z",3891,"Registered Voters","Internet",50,42,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24717","https://morningconsult.com/2016/06/20/poll-orlando-huge-spike-voters-concerns-security/","Nonpartisan","None","",1,,"Sanders",8
"26","CNN","2016-06-16","2016-06-19","2016-06-21T11:23:41Z",1001,"Adults","Live Phone",59,35,7,"http://elections.huffingtonpost.com/pollster/polls/cnn-24723","http://i2.cdn.turner.com/cnn/2016/images/06/21/rel7b.-.2016.general.pdf","Nonpartisan","None","",1,,"Sanders",24
"27","Bloomberg/Selzer","2016-06-10","2016-06-13","2016-06-15T21:10:44Z",1000,"Adults","Live Phone",49,41,9,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-24686","http://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rEtlbMmMoNis/v0","Nonpartisan","None","",1,,"Sanders",8
"28","CBS","2016-06-09","2016-06-13","2016-06-16T00:46:09Z",1280,"Adults","Live Phone",40,34,24,"http://elections.huffingtonpost.com/pollster/polls/cbs-24687","https://www.scribd.com/doc/315840399/Toplines-CBS-News-poll-Clinton-Trump","Nonpartisan","None","",1,,"Sanders",6
"29","Morning Consult","2016-06-08","2016-06-09","2016-06-14T17:52:02Z",1362,"Registered Voters","Internet",48,44,7,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24673","https://morningconsult.com/2016/06/14/poll-less-half-voters-view-clintons-nomination-historic/","Nonpartisan","None","",1,,"Sanders",4
"30","SurveyUSA/Guardian","2016-06-08","2016-06-09","2016-06-13T15:51:52Z",1408,"Registered Voters","IVR/Online",54,42,4,"http://elections.huffingtonpost.com/pollster/polls/surveyusa-guardian-24656","http://www.surveyusa.com/client/PollReport.aspx?g=16a737fe-f202-42b4-965f-e76b137ba826","Nonpartisan","None","",1,,"Sanders",12
"31","FOX","2016-06-05","2016-06-08","2016-06-09T22:08:00Z",1004,"Registered Voters","Live Phone",54,41,6,"http://elections.huffingtonpost.com/pollster/polls/fox-24646","http://www.foxnews.com/politics/2016/06/09/fox-news-poll-trump-drops-now-trails-clinton.html","Nonpartisan","None","",1,,"Sanders",13
