"","Poll","Date","Sample","Votes","candidate","poll_date"
"2","IBD/TIPPIBD/TIPP","5/31 - 6/5","351 RV",51,"Clinton",2016-05-31
"3","QuinnipiacQuinnipiac","5/24 - 5/30","678 RV",53,"Clinton",2016-05-24
"4","ABC News/Wash PostABC/WP","5/16 - 5/19","373 RV",56,"Clinton",2016-05-16
"5","NBC News/Wall St. JrnlNBC/WSJ","5/15 - 5/19","342 LV",53,"Clinton",2016-05-15
"6","CBS News/NY TimesCBS/NYT","5/13 - 5/17","371 LV",51,"Clinton",2016-05-13
"7","CNN/ORCCNN/ORC","4/28 - 5/1","405 LV",51,"Clinton",2016-04-28
"8","IBD/TIPPIBD/TIPP","4/22 - 4/28","355 RV",49,"Clinton",2016-04-22
"9","USA Today/SuffolkUSA Today","4/20 - 4/24","363 LV",50,"Clinton",2016-04-20
"10","Pew ResearchPew","4/12 - 4/19","738 RV",54,"Clinton",2016-04-12
"11","FOX NewsFOX News","4/11 - 4/13","450 RV",48,"Clinton",2016-04-11
"12","NBC News/Wall St. JrnlNBC/WSJ","4/10 - 4/14","339 LV",50,"Clinton",2016-04-10
"13","CBS NewsCBS News","4/8 - 4/12","359 LV",50,"Clinton",2016-04-08
"14","The Atlantic/PRRIThe Atlantic","3/30 - 4/3","788 RV",46,"Clinton",2016-03-30
"15","IBD/TIPPIBD/TIPP","3/28 - 4/2","388 RV",45,"Clinton",2016-03-28
"16","McClatchy/MaristMcClatchy","3/29 - 3/31","497 RV",47,"Clinton",2016-03-29
"17","Pew ResearchPew","3/17 - 3/27","842 RV",49,"Clinton",2016-03-17
"18","PPP (D)PPP (D)","3/24 - 3/26","505 LV",54,"Clinton",2016-03-24
"19","FOX NewsFOX News","3/20 - 3/22","410 LV",55,"Clinton",2016-03-20
"20","BloombergBloomberg","3/19 - 3/22","311 LV",48,"Clinton",2016-03-19
"21","CBS News/NY TimesCBS/NYT","3/17 - 3/20","388 LV",50,"Clinton",2016-03-17
"22","CNN/ORCCNN/ORC","3/17 - 3/20","397 RV",51,"Clinton",2016-03-17
"23","MonmouthMonmouth","3/17 - 3/20","391 RV",55,"Clinton",2016-03-17
"24","QuinnipiacQuinnipiac","3/16 - 3/21","635 RV",50,"Clinton",2016-03-16
"25","NBC News/Wall St. JrnlNBC/WSJ","3/3 - 3/6","410 LV",53,"Clinton",2016-03-03
"26","ABC News/Wash PostABC/WP","3/3 - 3/6","RV",49,"Clinton",2016-03-03
"27","CNN/ORCCNN/ORC","2/24 - 2/27","427 RV",55,"Clinton",2016-02-24
"28","Rasmussen ReportsRasmussen","2/25 - 2/28","541 LV",53,"Clinton",2016-02-25
"29","IBD/TIPPIBD/TIPP","2/19 - 2/24","334 RV",45,"Clinton",2016-02-19
"30","FOX NewsFOX News","2/15 - 2/17","429 LV",44,"Clinton",2016-02-15
"31","NBC News/Wall St. JrnlNBC/WSJ","2/14 - 2/16","400 LV",53,"Clinton",2016-02-14
"32","CBS NewsCBS News","2/12 - 2/16","549 LV",47,"Clinton",2016-02-12
"33","USA Today/SuffolkUSA Today","2/11 - 2/15","319 LV",50,"Clinton",2016-02-11
"34","QuinnipiacQuinnipiac","2/10 - 2/15","563 LV",44,"Clinton",2016-02-10
"35","QuinnipiacQuinnipiac","2/2 - 2/4","484 RV",44,"Clinton",2016-02-02
"36","Rasmussen ReportsRasmussen","2/3 - 2/4","574 LV",50,"Clinton",2016-02-03
"37","PPP (D)PPP (D)","2/2 - 2/3","517 LV",53,"Clinton",2016-02-02
"38","IBD/TIPPIBD/TIPP","1/22 - 1/27","349 RV",50,"Clinton",2016-01-22
"39","CNN/ORCCNN/ORC","1/21 - 1/24","440 RV",52,"Clinton",2016-01-21
"40","ABC News/Wash PostABC/WP","1/21 - 1/24","406 RV",55,"Clinton",2016-01-21
"41","FOX NewsFOX News","1/18 - 1/21","375 LV",49,"Clinton",2016-01-18
"42","MonmouthMonmouth","1/15 - 1/18","352 RV",52,"Clinton",2016-01-15
"43","NBC News/Wall St. JrnlNBC/WSJ","1/9 - 1/13","400 LV",59,"Clinton",2016-01-09
"44","CBS/NY TimesCBS/NYT","1/7 - 1/10","389 LV",48,"Clinton",2016-01-07
"45","IBD/TIPPIBD/TIPP","1/4 - 1/8","378 LV",43,"Clinton",2016-01-04
"46","FOX NewsFOX News","1/4 - 1/7","360 RV",54,"Clinton",2016-01-04
"47","Rasmussen ReportsRasmussen","12/20 - 12/21","546 LV",46,"Clinton",2015-12-21
"48","CNN/ORCCNN/ORC","12/17 - 12/21","414 RV",50,"Clinton",2015-12-18
"49","QuinnipiacQuinnipiac","12/16 - 12/20","462 RV",61,"Clinton",2015-12-17
"50","FOX NewsFOX News","12/16 - 12/17","390 RV",56,"Clinton",2015-12-17
"51","PPP (D)PPP (D)","12/16 - 12/17","525 LV",56,"Clinton",2015-12-17
"52","ABC News/Wash PostABC/WP","12/10 - 12/13","377 RV",59,"Clinton",2015-12-11
"53","MonmouthMonmouth","12/10 - 12/13","374 RV",59,"Clinton",2015-12-11
"54","NBC/WSJNBC/WSJ","12/6 - 12/9","400 LV",56,"Clinton",2015-12-07
"55","CBS/NY TimesCBS/NYT","12/4 - 12/8","384 LV",52,"Clinton",2015-12-05
"56","USA Today/SuffolkUSA Today","12/2 - 12/6","363 LV",56,"Clinton",2015-12-03
"57","IBD/TIPPIBD/TIPP","11/30 - 12/4","345 RV",51,"Clinton",2015-12-01
"58","CNN/ORCCNN/ORC","11/27 - 12/1","403 RV",58,"Clinton",2015-11-28
