"","poll_date","votes","candidate","source","type"
"1","2016-05-31",51,"Clinton","Real Clear Politics","first rank"
"2","2016-05-24",53,"Clinton","Real Clear Politics","first rank"
"3","2016-05-16",56,"Clinton","Real Clear Politics","first rank"
"4","2016-05-15",53,"Clinton","Real Clear Politics","first rank"
"5","2016-05-13",51,"Clinton","Real Clear Politics","first rank"
"6","2016-04-28",51,"Clinton","Real Clear Politics","first rank"
"7","2016-04-22",49,"Clinton","Real Clear Politics","first rank"
"8","2016-04-20",50,"Clinton","Real Clear Politics","first rank"
"9","2016-04-12",54,"Clinton","Real Clear Politics","first rank"
"10","2016-04-11",48,"Clinton","Real Clear Politics","first rank"
"11","2016-04-10",50,"Clinton","Real Clear Politics","first rank"
"12","2016-04-08",50,"Clinton","Real Clear Politics","first rank"
"13","2016-03-30",46,"Clinton","Real Clear Politics","first rank"
"14","2016-03-28",45,"Clinton","Real Clear Politics","first rank"
"15","2016-03-29",47,"Clinton","Real Clear Politics","first rank"
"16","2016-03-17",49,"Clinton","Real Clear Politics","first rank"
"17","2016-03-24",54,"Clinton","Real Clear Politics","first rank"
"18","2016-03-20",55,"Clinton","Real Clear Politics","first rank"
"19","2016-03-19",48,"Clinton","Real Clear Politics","first rank"
"20","2016-03-17",50,"Clinton","Real Clear Politics","first rank"
"21","2016-03-17",51,"Clinton","Real Clear Politics","first rank"
"22","2016-03-17",55,"Clinton","Real Clear Politics","first rank"
"23","2016-03-16",50,"Clinton","Real Clear Politics","first rank"
"24","2016-03-03",53,"Clinton","Real Clear Politics","first rank"
"25","2016-03-03",49,"Clinton","Real Clear Politics","first rank"
"26","2016-02-24",55,"Clinton","Real Clear Politics","first rank"
"27","2016-02-25",53,"Clinton","Real Clear Politics","first rank"
"28","2016-02-19",45,"Clinton","Real Clear Politics","first rank"
"29","2016-02-15",44,"Clinton","Real Clear Politics","first rank"
"30","2016-02-14",53,"Clinton","Real Clear Politics","first rank"
"31","2016-02-12",47,"Clinton","Real Clear Politics","first rank"
"32","2016-02-11",50,"Clinton","Real Clear Politics","first rank"
"33","2016-02-10",44,"Clinton","Real Clear Politics","first rank"
"34","2016-02-02",44,"Clinton","Real Clear Politics","first rank"
"35","2016-02-03",50,"Clinton","Real Clear Politics","first rank"
"36","2016-02-02",53,"Clinton","Real Clear Politics","first rank"
"37","2016-01-22",50,"Clinton","Real Clear Politics","first rank"
"38","2016-01-21",52,"Clinton","Real Clear Politics","first rank"
"39","2016-01-21",55,"Clinton","Real Clear Politics","first rank"
"40","2016-01-18",49,"Clinton","Real Clear Politics","first rank"
"41","2016-01-15",52,"Clinton","Real Clear Politics","first rank"
"42","2016-01-09",59,"Clinton","Real Clear Politics","first rank"
"43","2016-01-07",48,"Clinton","Real Clear Politics","first rank"
"44","2016-01-04",43,"Clinton","Real Clear Politics","first rank"
"45","2016-01-04",54,"Clinton","Real Clear Politics","first rank"
"46","2015-12-21",46,"Clinton","Real Clear Politics","first rank"
"47","2015-12-18",50,"Clinton","Real Clear Politics","first rank"
"48","2015-12-17",61,"Clinton","Real Clear Politics","first rank"
"49","2015-12-17",56,"Clinton","Real Clear Politics","first rank"
"50","2015-12-17",56,"Clinton","Real Clear Politics","first rank"
"51","2015-12-11",59,"Clinton","Real Clear Politics","first rank"
"52","2015-12-11",59,"Clinton","Real Clear Politics","first rank"
"53","2015-12-07",56,"Clinton","Real Clear Politics","first rank"
"54","2015-12-05",52,"Clinton","Real Clear Politics","first rank"
"55","2015-12-03",56,"Clinton","Real Clear Politics","first rank"
"56","2015-12-01",51,"Clinton","Real Clear Politics","first rank"
"57","2015-11-28",58,"Clinton","Real Clear Politics","first rank"
"58","2015-11-24",60,"Clinton","Real Clear Politics","first rank"
"59","2015-11-17",55,"Clinton","Real Clear Politics","first rank"
"60","2015-11-17",60,"Clinton","Real Clear Politics","first rank"
"61","2015-11-17",59,"Clinton","Real Clear Politics","first rank"
"62","2015-11-16",55,"Clinton","Real Clear Politics","first rank"
"63","2015-11-16",50,"Clinton","Real Clear Politics","first rank"
"64","2015-11-07",52,"Clinton","Real Clear Politics","first rank"
"65","2015-11-02",56,"Clinton","Real Clear Politics","first rank"
"66","2015-10-31",57,"Clinton","Real Clear Politics","first rank"
"67","2015-10-30",53,"Clinton","Real Clear Politics","first rank"
"68","2015-10-26",62,"Clinton","Real Clear Politics","first rank"
"69","2015-10-25",48,"Clinton","Real Clear Politics","first rank"
"70","2015-10-16",49,"Clinton","Real Clear Politics","first rank"
"71","2015-10-16",48,"Clinton","Real Clear Politics","first rank"
"72","2015-10-16",54,"Clinton","Real Clear Politics","first rank"
"73","2015-10-15",45,"Clinton","Real Clear Politics","first rank"
"74","2015-10-11",45,"Clinton","Real Clear Politics","first rank"
"75","2015-10-05",46,"Clinton","Real Clear Politics","first rank"
"76","2015-10-02",42,"Clinton","Real Clear Politics","first rank"
"77","2015-09-27",42,"Clinton","Real Clear Politics","first rank"
"78","2015-09-25",41,"Clinton","Real Clear Politics","first rank"
"79","2015-09-23",45,"Clinton","Real Clear Politics","first rank"
"80","2015-09-21",42,"Clinton","Real Clear Politics","first rank"
"81","2015-09-21",44,"Clinton","Real Clear Politics","first rank"
"82","2015-09-19",33,"Clinton","Real Clear Politics","first rank"
"83","2015-09-18",43,"Clinton","Real Clear Politics","first rank"
"84","2015-09-18",42,"Clinton","Real Clear Politics","first rank"
"85","2015-09-10",47,"Clinton","Real Clear Politics","first rank"
"86","2015-09-08",42,"Clinton","Real Clear Politics","first rank"
"87","2015-09-05",37,"Clinton","Real Clear Politics","first rank"
"88","2015-09-01",42,"Clinton","Real Clear Politics","first rank"
"89","2015-08-29",55,"Clinton","Real Clear Politics","first rank"
"90","2015-08-21",45,"Clinton","Real Clear Politics","first rank"
"91","2015-08-24",50,"Clinton","Real Clear Politics","first rank"
"92","2015-08-14",47,"Clinton","Real Clear Politics","first rank"
"93","2015-08-12",49,"Clinton","Real Clear Politics","first rank"
"94","2015-07-31",52,"Clinton","Real Clear Politics","first rank"
"95","2015-07-31",51,"Clinton","Real Clear Politics","first rank"
"96","2015-07-30",58,"Clinton","Real Clear Politics","first rank"
"97","2015-07-27",59,"Clinton","Real Clear Politics","first rank"
"98","2015-07-24",55,"Clinton","Real Clear Politics","first rank"
"99","2015-07-23",56,"Clinton","Real Clear Politics","first rank"
"100","2015-07-21",57,"Clinton","Real Clear Politics","first rank"
"101","2015-07-17",63,"Clinton","Real Clear Politics","first rank"
"102","2015-07-14",59,"Clinton","Real Clear Politics","first rank"
"103","2015-07-10",59,"Clinton","Real Clear Politics","first rank"
"104","2015-07-10",51,"Clinton","Real Clear Politics","first rank"
"105","2015-06-27",58,"Clinton","Real Clear Politics","first rank"
"106","2015-06-22",61,"Clinton","Real Clear Politics","first rank"
"107","2015-06-15",75,"Clinton","Real Clear Politics","first rank"
"108","2015-06-12",57,"Clinton","Real Clear Politics","first rank"
"109","2015-06-12",65,"Clinton","Real Clear Politics","first rank"
"110","2015-06-01",57,"Clinton","Real Clear Politics","first rank"
"111","2015-05-30",60,"Clinton","Real Clear Politics","first rank"
