poll_id,state,Poll,link,Date,poll_date,Sample,votes,candidate,full_name,party,versus,field,
1,Ohio,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_31016.pdf,3/4-3/6,3/4/2016,1248 RV Ohio,60,Portman,Rob Portman,R,2R,R,
1,Ohio,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_31016.pdf,3/4-3/6,3/4/2016,1248 RV Ohio,7,Eckhart,Don Eckhart,R,2R,R,
1,Ohio,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_31016.pdf,3/4-3/6,3/4/2016,1248 RV Ohio,33,not sure,not sure,NA,2R,R,
1,Ohio,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_31016.pdf,3/4-3/6,3/4/2016,1248 RV Ohio,6,Prather,Kelli Prather,D,3D,D,
1,Ohio,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_31016.pdf,3/4-3/6,3/4/2016,1248 RV Ohio,16,Sittenfeld,P.G. Sittenfeld,D,3D,D,
1,Ohio,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_31016.pdf,3/4-3/6,3/4/2016,1248 RV Ohio,50,Strickland,Ted Strickland,D,3D,D,
1,Ohio,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_31016.pdf,3/4-3/6,3/4/2016,1248 RV Ohio,28,not sure,not sure,NA,3D,D,
1,Ohio,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_31016.pdf,3/4-3/6,3/4/2016,1248 RV Ohio,40,Portman,Rob Portman,R,RD.1,all,
1,Ohio,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_31016.pdf,3/4-3/6,3/4/2016,1248 RV Ohio,41,Strickland,Ted Strickland,D,RD.1,all,
1,Ohio,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_31016.pdf,3/4-3/6,3/4/2016,1248 RV Ohio,19,not sure,not sure,NA,RD.1,all,
1,Ohio,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_31016.pdf,3/4-3/6,3/4/2016,1248 RV Ohio,42,Portman,Rob Portman,R,RD.2,all,
1,Ohio,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_31016.pdf,3/4-3/6,3/4/2016,1248 RV Ohio,30,Sittenfeld,P.G. Sittenfeld,D,RD.2,all,
1,Ohio,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_OH_31016.pdf,3/4-3/6,3/4/2016,1248 RV Ohio,27,not sure,not sure,NA,RD.2,all,
2,New Hampshire,GSP,https://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2016_summer_senrace072016.pdf,7/9-7/18,7/9/2016,469 LV,42,Ayotte,Kelly Ayotte,R,RD.1,all,
2,New Hampshire,GSP,https://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2016_summer_senrace072016.pdf,7/9-7/18,7/9/2016,469 LV,45,Hassan,Maggie Hassan,D,RD.1,all,
2,New Hampshire,GSP,https://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2016_summer_senrace072016.pdf,7/9-7/18,7/9/2016,469 LV,11,not not sure,not sure,NA,RD.1,all,
2,New Hampshire,GSP,https://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2016_summer_senrace072016.pdf,7/9-7/18,7/9/2016,469 LV,3,other,other,NA,RD.1,all,
2,New Hampshire,GSP,https://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2016_summer_senrace072016.pdf,7/9-7/18,7/9/2016,469 LV,30,Reubens,Jim Reubens,R,RD.2,all,
2,New Hampshire,GSP,https://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2016_summer_senrace072016.pdf,7/9-7/18,7/9/2016,469 LV,48,Hassan,Maggie Hassan,D,RD.2,all,
