"","Poll","Date","Sample","Favorable","Unfavorable","Spread","poll_date","candidate","gain","net"
"2","NBC News/Wall St. JrnlNBC/WSJ","7/9 - 7/13","1000 RV",45,32,"+13",2016-07-09,"Sanders",16.8831168831169,13
"3","USA Today/SuffolkUSA Today","6/26 - 6/29","1000 LV",49,39,"+10",2016-06-26,"Sanders",11.3636363636364,10
"4","PPP (D)PPP (D)","6/27 - 6/28","947 RV",44,42,"+2",2016-06-27,"Sanders",2.32558139534884,2
"5","NBC News/Wall St. JrnlNBC/WSJ","6/19 - 6/23","1000 RV",43,34,"+9",2016-06-19,"Sanders",11.6883116883117,9
"6","CNN/ORCCNN/ORC","6/16 - 6/19","891 RV",59,35,"+24",2016-06-16,"Sanders",25.531914893617,24
"7","The Economist/YouGovEconomist","5/20 - 5/23","2000 RV",54,41,"+13",2016-05-20,"Sanders",13.6842105263158,13
"8","ABC News/Wash PostABC/WP","5/16 - 5/19","829 RV",49,41,"+8",2016-05-16,"Sanders",8.88888888888889,8
"9","CBS News/NY TimesCBS/NYT","5/13 - 5/17","1109 RV",41,33,"+8",2016-05-13,"Sanders",10.8108108108108,8
"10","PPP (D)PPP (D)","5/6 - 5/9","1222 RV",43,46,"-3",2016-05-06,"Sanders",-3.37078651685393,-3
"11","The Economist/YouGovEconomist","5/6 - 5/8","2000 A",49,43,"+6",2016-05-06,"Sanders",6.52173913043478,6
"12","CNN/ORCCNN/ORC","4/28 - 5/1","1001 A",60,32,"+28",2016-04-28,"Sanders",30.4347826086957,28
"13","The Economist/YouGovEconomist","4/22 - 4/26","2000 A",53,41,"+12",2016-04-22,"Sanders",12.7659574468085,12
"14","USA Today/SuffolkUSA Today","4/20 - 4/24","1000 LV",43,44,"-1",2016-04-20,"Sanders",-1.14942528735632,-1
"15","GWU/BattlegroundGWU/Battleground","4/17 - 4/20","1000 LV",49,44,"+5",2016-04-17,"Sanders",5.37634408602151,5
"16","NBC News/Wall St. JrnlNBC/WSJ","4/10 - 4/14","1000 RV",45,36,"+9",2016-04-10,"Sanders",11.1111111111111,9
"17","CBS NewsCBS News","4/8 - 4/12","1320 A",39,34,"+5",2016-04-08,"Sanders",6.84931506849315,5
"18","The Economist/YouGovEconomist","4/8 - 4/11","2000 A",51,43,"+8",2016-04-08,"Sanders",8.51063829787234,8
"19","The Atlantic/PRRIThe Atlantic","3/30 - 4/3","2033 A",47,41,"+6",2016-03-30,"Sanders",6.81818181818182,6
"20","The Economist/YouGovEconomist","3/26 - 3/29","2000 A",51,42,"+9",2016-03-26,"Sanders",9.67741935483871,9
"21","PPP (D)PPP (D)","3/24 - 3/26","1083 RV",41,48,"-7",2016-03-24,"Sanders",-7.86516853932584,-7
"22","FOX NewsFOX News","3/20 - 3/22","1016 RV",44,49,"-5",2016-03-20,"Sanders",-5.37634408602151,-5
"23","QuinnipiacQuinnipiac","3/16 - 3/21","1451 RV",50,37,"+13",2016-03-16,"Sanders",14.9425287356322,13
"24","BloombergBloomberg","3/19 - 3/22","1000 A",52,41,"+11",2016-03-19,"Sanders",11.8279569892473,11
"25","CNN/ORCCNN/ORC","3/17 - 3/20","1001 A",48,43,"+5",2016-03-17,"Sanders",5.49450549450549,5
"26","MonmouthMonmouth","3/17 - 3/20","848 RV",48,37,"+11",2016-03-17,"Sanders",12.9411764705882,11
"27","The Economist/YouGovEconomist","3/10 - 3/12","2000 A",50,41,"+9",2016-03-10,"Sanders",9.89010989010989,9
"28","CNN/ORCCNN/ORC","2/24 - 2/27","920 RV",57,33,"+24",2016-02-24,"Sanders",26.6666666666667,24
"29","The Economist/YouGovEconomist","2/24 - 2/27","2000 A",48,39,"+9",2016-02-24,"Sanders",10.3448275862069,9
"30","NBC News/Wall St. JrnlNBC/WSJ","2/14 - 2/16","800 RV",42,35,"+7",2016-02-14,"Sanders",9.09090909090909,7
"31","Associated Press-GfKAP-GfK","2/11 - 2/15","1033 A",40,39,"+1",2016-02-11,"Sanders",1.26582278481013,1
"32","QuinnipiacQuinnipiac","2/10 - 2/15","1342 RV",51,36,"+15",2016-02-10,"Sanders",17.2413793103448,15
"33","PPP (D)PPP (D)","2/2 - 2/3","1236 RV",39,46,"-7",2016-02-02,"Sanders",-8.23529411764706,-7
"34","The Economist/YouGovEconomist","2/11 - 2/15","2000 A",49,40,"+9",2016-02-11,"Sanders",10.1123595505618,9
"35","The Economist/YouGovEconomist","1/27 - 1/30","2000 A",47,38,"+9",2016-01-27,"Sanders",10.5882352941176,9
"36","The Economist/YouGovEconomist","1/15 - 1/19","2000 A",43,39,"+4",2016-01-15,"Sanders",4.8780487804878,4
"37","ABC News/Wash PostABC/WP","1/6 - 1/10","1000 A",44,40,"+4",2016-01-06,"Sanders",4.76190476190476,4
"38","The Economist/YouGovEconomist","12/30 - 1/6","2000 A",43,39,"+4",2015-12-31,"Sanders",4.8780487804878,4
