"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Unfavorable","Undecided","Favorable","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration","net"
"1","YouGov/Economist","2016-05-06","2016-05-09","2016-05-11T17:46:34Z",2000,"Adults","Internet",37,22,42,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24478","https://today.yougov.com/news/2016/05/11/most-republicans-think-ryan-should-endorse-trump/","Nonpartisan","None",,1,5
"2","Morning Consult","2016-04-29","2016-05-02","2016-05-03T14:47:06Z",1976,"Registered Voters","Internet",40,27,34,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24431","https://morningconsult.com/2016/05/donald-trump-hits-new-high-among-gop-voters/","Nonpartisan","None",,1,-6
"3","CNN","2016-04-28","2016-05-01","2016-05-04T13:43:46Z",1001,"Adults","Live Phone",30,21,49,"http://elections.huffingtonpost.com/pollster/polls/cnn-24438","http://i2.cdn.turner.com/cnn/2016/images/05/04/rel6b.-.2016.general.pdf","Nonpartisan","None",,1,19
"4","Morning Consult","2016-04-26","2016-04-29","2016-04-29T17:28:54Z",1964,"Registered Voters","Internet",40,26,33,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24408","https://morningconsult.com/2016/04/poll-kasich-gops-favorite-second-choice/","Nonpartisan","None",,1,-7
"5","IBD/TIPP","2016-04-22","2016-04-28","2016-05-01T19:16:05Z",814,"Registered Voters","Live Phone",35,2,38,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-24414","http://www.investors.com/politics/trump-gains-ground-on-clinton-but-both-have-sky-high-negatives/","Nonpartisan","None",,1,3
"6","YouGov/Economist","2016-04-22","2016-04-26","2016-04-27T21:51:24Z",2000,"Adults","Internet",43,22,36,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24390","https://today.yougov.com/news/2016/04/27/yougov-economist-poll-april-22-26-2016/","Nonpartisan","None",,1,-7
"7","Suffolk/USA Today","2016-04-20","2016-04-24","2016-04-25T19:13:35Z",1000,"Likely Voters","Live Phone",30,27,43,"http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-24356","http://www.suffolk.edu/academics/10741.php","Nonpartisan","None",,1,13
"8","Morning Consult","2016-04-20","2016-04-22","2016-04-29T18:17:35Z",2003,"Registered Voters","Internet",39,25,37,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24410","https://morningconsultintelligence.com/media/mc/160407_topline_trend_v5_KD.pdf","Nonpartisan","None",,1,-2
"9","GWU/Battleground","2016-04-17","2016-04-20","2016-04-25T14:20:12Z",1000,"Likely Voters","Live Phone",29,26,45,"http://elections.huffingtonpost.com/pollster/polls/gwu-battleground-24342","https://mediarelations.gwu.edu/americans-overwhelmingly-engaged-2016-election-tone-race-affecting-voters-new-gw-battleground-poll","Nonpartisan","None",,1,16
"10","Morning Consult","2016-04-15","2016-04-17","2016-04-18T19:24:26Z",2032,"Registered Voters","Internet",38,25,37,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24302","https://morningconsult.com/2016/04/bernie-sanders-hillary-clinton-democratic-presidential-poll/","Nonpartisan","None",,1,-1
"11","NBC/WSJ","2016-04-10","2016-04-14","2016-04-18T21:05:54Z",1000,"Registered Voters","Live Phone",19,50,31,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-24305","http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/16229%20NBCWSJ%20April%20Poll.pdf","Nonpartisan","None",,1,12
"12","CBS","2016-04-08","2016-04-12","2016-04-14T14:30:14Z",1098,"Registered Voters","Live Phone",21,52,26,"http://elections.huffingtonpost.com/pollster/polls/cbs-24275","http://www.cbsnews.com/news/cbs-news-poll-donald-trump-holds-onto-national-lead/","Nonpartisan","None",,1,5
"13","Morning Consult","2016-04-08","2016-04-11","2016-04-19T17:22:39Z",4015,"Registered Voters","Internet",38,28,35,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24311","https://morningconsultintelligence.com/media/mc/160403_topline_trend_v2_AP.pdf","Nonpartisan","None",,1,-3
"14","YouGov/Economist","2016-04-08","2016-04-11","2016-04-13T15:34:28Z",1994,"Adults","Internet",42,23,35,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24266","https://today.yougov.com/news/2016/04/13/tale-two-conventions/","Nonpartisan","None",,1,-7
"15","ABC/Post","2016-04-06","2016-04-10","2016-04-14T14:08:52Z",1010,"Adults","Live Phone",39,22,39,"http://elections.huffingtonpost.com/pollster/polls/abc-post-24273","https://www.washingtonpost.com/news/the-fix/wp/2016/04/14/republicans-like-donald-trump-and-ted-cruz-the-general-public-doesnt/","Nonpartisan","None",,1,0
"16","AP-GfK (web)","2016-03-31","2016-04-04","2016-04-07T19:01:11Z",1076,"Adults","Internet",31,36,34,"http://elections.huffingtonpost.com/pollster/polls/ap-gfk-web-24229","http://ap-gfkpoll.com/main/wp-content/uploads/2016/04/March-2016-AP-GfK-Poll-FINAL_Clinton.pdf","Nonpartisan","None",,1,3
"17","Morning Consult","2016-04-01","2016-04-03","2016-04-05T13:18:16Z",2004,"Registered Voters","Internet",34,29,38,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24207","https://morningconsult.com/2016/04/donald-trump-polling-abortion-comments/","Nonpartisan","None",,1,4
"18","YouGov/Economist","2016-03-26","2016-03-29","2016-03-31T20:35:54Z",1995,"Adults","Internet",38,24,38,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24181","https://today.yougov.com/news/2016/03/31/trump-still-leads/","Nonpartisan","None",,1,0
"19","PPP (D)","2016-03-24","2016-03-26","2016-03-31T18:05:23Z",1083,"Likely Voters","IVR/Online",39,21,41,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-24178","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_33116.pdf","Pollster","Dem",,1,2
"20","Morning Consult","2016-03-24","2016-03-26","2016-03-28T17:06:25Z",2071,"Registered Voters","Internet",36,30,35,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24158","https://morningconsult.com/2016/03/security-issues-rise-after-brussels-attacks/","Nonpartisan","None",,1,-1
"21","McLaughlin (R)","2016-03-17","2016-03-23","2016-03-29T18:06:35Z",1002,"Likely Voters","Internet",33,32,35,"http://elections.huffingtonpost.com/pollster/polls/mclaughlin-r-24168","http://mclaughlinonline.com/pols/wp-content/uploads/2016/03/National-Omnibus-3-23-16-Topline-Public.pdf","Pollster","Rep",,1,2
"22","FOX","2016-03-20","2016-03-22","2016-03-23T22:19:32Z",1016,"Registered Voters","Live Phone",33,28,40,"http://elections.huffingtonpost.com/pollster/polls/fox-24141","http://www.foxnews.com/politics/interactive/2016/03/23/fox-news-poll-national-general-election-32316/","Nonpartisan","None",,1,7
"23","Bloomberg/Selzer","2016-03-19","2016-03-22","2016-03-23T21:46:55Z",1000,"Adults","Live Phone",32,23,46,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-24140","http://assets.bwbx.io/documents/users/iqjWHBFdfxIU/r.f2qF2GAiq8/v0","Nonpartisan","None",,1,14
"24","Morning Consult","2016-03-18","2016-03-21","2016-03-21T19:05:11Z",2001,"Registered Voters","Internet",33,31,35,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24122","https://morningconsult.com/2016/03/paul-ryan-general-election-polling-hillary-clinton-bernie-sanders/","Nonpartisan","None",,1,2
"25","Quinnipiac","2016-03-16","2016-03-21","2016-03-23T11:19:56Z",1451,"Registered Voters","Live Phone",20,37,43,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24134","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2333","Nonpartisan","None",,1,23
"26","CNN","2016-03-17","2016-03-20","2016-03-24T16:25:09Z",1001,"Adults","Live Phone",31,28,40,"http://elections.huffingtonpost.com/pollster/polls/cnn-24146","http://i2.cdn.turner.com/cnn/2016/images/03/24/march.poll.pdf","Nonpartisan","None",,1,9
"27","Monmouth University","2016-03-17","2016-03-20","2016-03-24T14:57:21Z",848,"Registered Voters","Live Phone",18,32,50,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-24144","http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/7714a05b-515f-4ad3-bdaa-e72a6e5f8e61.pdf","Nonpartisan","None",,1,32
"28","Morning Consult","2016-03-16","2016-03-18","2016-03-18T17:59:58Z",2011,"Registered Voters","Internet",30,33,38,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24111","https://morningconsult.com/2016/03/cruz-edges-closer-to-trump-new-presidential-poll/?utm_content=31597007&utm_medium=social&utm_source=twitter","Nonpartisan","None",,1,8
"29","Morning Consult","2016-03-11","2016-03-13","2016-03-14T17:45:27Z",4027,"Registered Voters","Internet",31,34,35,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24088","https://morningconsult.com/2016/03/bernie-sanders-hillary-clinton-donald-trump-ted-cruz-presidential-polling/","Nonpartisan","None",,1,4
"30","YouGov/Economist","2016-03-10","2016-03-12","2016-03-14T17:17:34Z",1996,"Adults","Internet",36,25,40,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24084","https://today.yougov.com/news/2016/03/14/trump-rises-national-support-rubio-falls-and-carso/","Nonpartisan","None",,1,4
"31","Morning Consult","2016-03-04","2016-03-06","2016-03-08T15:38:21Z",2019,"Registered Voters","Internet",31,34,34,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-24011","http://morningconsult.com/2016/03/poll-ted-cruz-closes-gap-on-donald-trump/","Nonpartisan","None",,1,3
"32","NBC/WSJ","2016-03-03","2016-03-06","2016-03-08T22:13:19Z",1200,"Registered Voters","Live Phone",14,53,33,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-24016","http://www.nbcnews.com/politics/2016-election/trump-cruz-locked-tight-race-nationally-new-poll-n534171","Nonpartisan","None",,1,19
"33","Morning Consult","2016-02-26","2016-02-27","2016-02-29T17:19:46Z",2002,"Registered Voters","Internet",33,39,28,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23918","http://morningconsult.com/2016/02/donald-trump-marco-rubio-super-tuesday-polling/","Nonpartisan","None",,1,-5
"34","CNN","2016-02-24","2016-02-27","2016-03-01T14:22:05Z",920,"Registered Voters","Live Phone",22,37,41,"http://elections.huffingtonpost.com/pollster/polls/cnn-23952","http://i2.cdn.turner.com/cnn/2016/images/02/29/rel4b.-.2016.general.pdf","Nonpartisan","None",,1,19
"35","YouGov/Economist","2016-02-24","2016-02-27","2016-02-28T23:08:26Z",1979,"Adults","Internet",37,30,33,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23910","https://today.yougov.com/news/2016/02/28/3-4-republican-primary-voters-now-expect-trump-nom/","Nonpartisan","None",,1,-4
