"","V1","V2","V3","V4","V5"
"1",2,4,5,Sanders,http://www.realclearpolitics.com/epolls/other/sanders_favorableunfavorable-5263.html
"2",2,4,5,Kasich,http://www.realclearpolitics.com/epolls/other/kasich_favorableunfavorable-4260.html
"3",2,4,5,Carson,http://www.realclearpolitics.com/epolls/other/carson_favorableunfavorable-5295.html
"4",2,4,5,Rubio,http://www.realclearpolitics.com/epolls/other/rubio_favorableunfavorable-3467.html
"5",4,4,5,Clinton,http://www.realclearpolitics.com/epolls/other/clinton_favorableunfavorable-1131.html
"6",2,4,5,Cruz,http://www.realclearpolitics.com/epolls/other/cruz_favorableunfavorable-3887.html
"7",4,4,5,Trump,http://www.realclearpolitics.com/epolls/other/trump_favorableunfavorable-5493.html
"8",4,4,5,Romney,http://www.realclearpolitics.com/epolls/other/romney_favorableunfavorable-1134.html
"9",2,4,5,Ryan,http://www.realclearpolitics.com/epolls/other/ryan_favorableunfavorable-3468.html
"10",2,4,5,Paul,http://www.realclearpolitics.com/epolls/other/paul_favorableunfavorable-3716.html
"11",2,4,5,Christie,http://www.realclearpolitics.com/epolls/other/christie_favorableunfavorable-3471.html
"12",2,4,5,Bush,http://www.realclearpolitics.com/epolls/other/bush_favorableunfavorable-3470.html
"13",2,4,5,O Malley,http://www.realclearpolitics.com/epolls/other/omalley_favorableunfavorable-3475.html
"14",2,4,5,Stein,http://www.realclearpolitics.com/epolls/other/stein_favorableunfavorable-5979.html
"15",2,4,5,Johnson,http://www.realclearpolitics.com/epolls/other/johnson_favorableunfavorable-5843.html
"16",2,4,5,Huckabee,http://www.realclearpolitics.com/epolls/other/huckabee_favorableunfavorable-1132.html
"17",2,4,5,Walker,http://www.realclearpolitics.com/epolls/other/walker_favorableunfavorable-3570.html
"18",2,4,5,Santorum,http://www.realclearpolitics.com/epolls/other/santorum_favorableunfavorable-3104.html
"19",1,4,5,Warren,http://www.realclearpolitics.com/epolls/other/warren_favorableunfavorable-4261.html
"20",2,4,5,Webb,http://www.realclearpolitics.com/epolls/other/webb_favorableunfavorable-5264.html
"21",2,4,5,Jindal,http://www.realclearpolitics.com/epolls/other/jindal_favorableunfavorable-3472.html
"22",2,4,5,Cuomo,http://www.realclearpolitics.com/epolls/other/cuomo_favorableunfavorable-3474.html
