"","V1","V2"
"1",Sanders,http://elections.huffingtonpost.com/pollster/bernie-sanders-favorable-rating.csv
"2",Kasich,http://elections.huffingtonpost.com/pollster/john-kasich-favorable-rating.csv
"3",Johnson,http://elections.huffingtonpost.com/pollster/gary-johnson-favorable-rating.csv
"4",Carson,http://elections.huffingtonpost.com/pollster/ben-carson-favorable-rating.csv
"5",Rubio,http://elections.huffingtonpost.com/pollster/marco-rubio-favorable-rating.csv
"6",Cruz,http://elections.huffingtonpost.com/pollster/ted-cruz-favorable-rating.csv
"7",Trump,http://elections.huffingtonpost.com/pollster/donald-trump-favorable-rating.csv
"8",Clinton,http://elections.huffingtonpost.com/pollster/hillary-clinton-favorable-rating.csv
"9",Fiorina,http://elections.huffingtonpost.com/pollster/carly-fiorina-favorable-rating.csv
"10",Bush,http://elections.huffingtonpost.com/pollster/jeb-bush-favorable-rating.csv
"11",Christie,http://elections.huffingtonpost.com/pollster/chris-christie-favorable-rating.csv
"12",Huckabee,http://elections.huffingtonpost.com/pollster/mike-huckabee-favorable-rating.csv
"13",Jindal,http://elections.huffingtonpost.com/pollster/bobby-jindal-favorable-rating.csv
"14",O Malley,http://elections.huffingtonpost.com/pollster/martin-o-malley-favorable-rating.csv
"15",Paul,http://elections.huffingtonpost.com/pollster/rand-paul-favorable-rating.csv
"16",Santorum,http://elections.huffingtonpost.com/pollster/rick-santorum-favorable-rating.csv
"17",Walker,http://elections.huffingtonpost.com/pollster/scott-walker-favorable-rating.csv
"18",Gilmore,http://elections.huffingtonpost.com/pollster/jim-gilmore-favorable-rating.csv
"19",Graham,http://elections.huffingtonpost.com/pollster/lindsey-graham-favorable-rating.csv
"20",Pataki,http://elections.huffingtonpost.com/pollster/george-pataki-favorable-rating.csv
"21",Perry,http://elections.huffingtonpost.com/pollster/rick-perry-favorable-rating.csv
